"","wave","year","amt_fam1","amt_fam2","amt_for1","amt_for2","amt_nan1","amt_nan2","amt_rel1","amt_rel2","care_fam1","care_fam2","care_for1","care_for2","care_nan1","care_nan2","care_par1","care_par2","care_rel1","care_rel2","care_sel1","care_sel2","ccuniv1","ccuniv2","epppnum","id","paid_fam1","paid_fam2","paid_for1","paid_for2","paid_nan1","paid_nan2","paid_rel1","paid_rel2","tot_fam1","tot_fam2","tot_for1","tot_for2","tot_nan1","tot_nan2","tot_rel1","tot_rel2","yr","used_cc","paid_cc","panel","month"
"1",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,8
"2",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,9
"3",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,10
"4",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,11
"5",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,6
"6",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,7
"7",6,1993,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,0,1,301,"00136981431301",NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,25,NA,NA,1993,1,1,1992,12
"8",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,8
"9",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,9
"10",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,10
"11",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,11
"12",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,6
"13",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,7
"14",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"32803834211102",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,12
"15",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,8
"16",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,9
"17",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,10
"18",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,11
"19",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,6
"20",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,7
"21",6,1993,75,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"96412368811102",1,NA,0,NA,0,NA,0,NA,150,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,12
"22",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,8
"23",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,9
"24",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,10
"25",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,11
"26",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,6
"27",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,7
"28",6,1993,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"00565111911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1993,1,0,1992,12
"29",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,8
"30",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,9
"31",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,10
"32",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,11
"33",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,6
"34",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,7
"35",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,0,103,"00565118611103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,12
"36",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,8
"37",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,9
"38",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,10
"39",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,11
"40",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,6
"41",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,7
"42",6,1993,NA,NA,NA,NA,NA,NA,40,30,0,0,0,0,0,0,0,0,1,1,0,0,1,1,102,"33045120711102",0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,40,30,1993,1,1,1992,12
"43",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,8
"44",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,9
"45",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,10
"46",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,11
"47",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,6
"48",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,7
"49",6,1993,10,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"60512340311101",1,NA,0,NA,0,NA,0,NA,10,NA,0,NA,NA,NA,NA,NA,1993,1,1,1992,12
"50",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,8
"51",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,9
"52",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,10
"53",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,11
"54",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,6
"55",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,7
"56",6,1993,NA,NA,70,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"00598675711102",0,NA,1,NA,0,NA,0,NA,NA,NA,70,NA,NA,NA,NA,NA,1993,1,1,1992,12
"57",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,8
"58",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,9
"59",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,10
"60",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,11
"61",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,6
"62",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,7
"63",6,1993,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,1,101,"33335834311101",NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1993,1,0,1992,12
"64",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,8
"65",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,9
"66",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,10
"67",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,11
"68",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,6
"69",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,7
"70",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"00607409811103",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,12
"71",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,8
"72",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,9
"73",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,10
"74",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,11
"75",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,6
"76",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,7
"77",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,102,"00645162111102",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,0,1992,12
"78",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,8
"79",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,9
"80",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,10
"81",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,11
"82",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,6
"83",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,7
"84",6,1993,65,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,102,"97629241811102",1,NA,0,NA,0,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,1993,1,1,1992,12
"85",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,8
"86",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,9
"87",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,10
"88",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,11
"89",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,6
"90",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,7
"91",6,1993,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,101,"33698675911101",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,0,0,1992,12
"92",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,8
"93",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,9
"94",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,10
"95",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,11
"96",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,6
"97",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,7
"98",6,1993,75,NA,NA,NA,NA,NA,50,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,0,101,"01012309811101",1,NA,0,NA,0,NA,1,NA,75,NA,NA,NA,NA,NA,50,NA,1993,1,1,1992,12
"99",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,8
"100",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,9
"101",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,10
"102",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,11
"103",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,6
"104",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,7
"105",6,1993,NA,NA,140,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,103,"01012363511103",0,NA,1,NA,0,NA,0,NA,NA,NA,280,NA,NA,NA,NA,NA,1993,1,1,1992,12
"106",6,1993,NA,NA,48,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,103,"34007473211103",0,0,1,0,0,0,0,0,NA,NA,48,NA,NA,NA,NA,0,1993,1,1,1992,8
